,novel,words,sentences,entities,mentions_std,bert,elmo,gpt2,w2v
19,The_Hound_of_the_Baskervilles_by_Arthur_,59234,821,13,117.7104498334791,0.7969582094770257,0.8521623055069447,0.32855805442968683,0.8257575757575758
20,Don_Quixote_by_Miguel_de_Cervantes_Saave,424461,3499,74,644.1829578587067,0.5990517335920567,0.5641212388419672,0.22391699535983434,0.8053613053613055
21,Narrative_of_the_Life_of_Frederick_Dougl,40945,226,12,18.81414952162925,0.360994423740104,0.46050857105389725,0.06559989266579326,0.75
22,Pride_and_Prejudice_by_Jane_Austen_,121022,1877,36,279.3894931612299,0.6515334677391319,0.7732659151437073,0.42243978272971605,0.8149425287356321
23,The_Time_Machine_by_H_G__Wells_,32585,140,4,88.87944394265502,0.7577562398129863,0.6020859811436078,-0.07845388856147585,0.6666666666666666
24,Dracula_by_Bram_Stoker_,161546,1487,21,161.2842865680039,0.8581033101417992,0.8859112996325371,0.2520306027829575,0.9020833333333333
25,Dubliners_by_James_Joyce_,67337,1010,47,37.1319544913582,0.43605083695701696,0.5358388781162571,0.15454580087990433,0.7300664451827242
26,Jane_Eyre_An_Autobiography_by_Charlotte,189369,1798,46,109.87895060860416,0.5646772759669773,0.6866131671699028,0.12125635554471634,0.7873735871505054
27,Siddhartha_by_Hermann_Hesse_,39421,468,10,143.25658798114662,0.8002171264544566,0.7916864217207672,0.785963742550248,0.8444444444444444
28,A_Christmas_Carol_by_Charles_Dickens_,29547,264,10,140.1822446973762,0.5201340472492044,0.557148898412922,0.04263087040542754,0.6666666666666666
29,Les_Misérables_by_Victor_Hugo_,567637,5724,104,311.78742007114715,0.7163442566807471,0.6722498464882815,0.25883721423615,0.791237703042782
30,Candide_by_Voltaire_,35722,331,8,160.90758217063606,0.7149165922748267,0.8246194808080807,0.485464451310976,0.6964285714285714
31,The_Secret_Garden_by_Frances_Hodgson_Bur,81347,1313,16,258.088123109028,0.8326181847102864,0.8577979336755331,0.3839906155871746,0.8397435897435899
32,Le_Morte_dArthur_Volume__by_Sir_Thoma,166876,3631,88,549.4168505867077,0.6744536289685734,0.7052609007995906,0.3469992136046791,0.8795897877223179
33,The_Strange_Case_of_Dr_Jekyll_and_Mr_H,25549,300,7,57.007065838855056,0.6428460786437192,0.6957427109159751,-0.15313982308855173,0.6833333333333332
34,Metamorphosis_by_Franz_Kafka_,22072,161,4,163.82578822910907,0.41339330895725973,0.4028756864716283,0.02359745066212334,0.75
35,Ethan_Frome_by_Edith_Wharton_,35089,337,9,102.51949528543459,0.7557337623301436,0.6960486765530702,0.22559704377660666,0.7083333333333334
36,A_Tale_of_Two_Cities_by_Charles_Dickens_,136388,1541,28,136.53893217687036,0.7792996534355894,0.755002505730856,0.36465249920400905,0.8574999999999998
37,A_Christmas_Carol_in_Prose_Being_a_Ghos,28831,257,10,132.61342687546505,0.5495434566265751,0.5718465851651641,0.07474092353159513,0.75
38,Great_Expectations_by_Charles_Dickens_,185580,2434,42,201.21067162305283,0.8111197951140745,0.8008772237069107,0.320048737568085,0.8134615384615385
39,Moby_Dick_Or_The_Whale_by_Herman_Melvi,216108,1338,23,131.12809939103624,0.7218177263523136,0.7298187956674913,0.22683243774756037,0.8063241106719367
40,Sense_and_Sensibility_by_Jane_Austen_,119389,1869,26,336.4953602949081,0.8811445736479656,0.8905442120248611,0.249305708949852,0.8289473684210525
41,The_Importance_of_Being_Earnest_A_Trivi,22243,291,10,136.32347560123313,0.7331045125526687,0.7649562858117772,0.6010801366461479,0.561111111111111
42,Pygmalion_by_Bernard_Shaw_,33820,474,12,220.91314420819467,0.8964223316325725,0.8435718641154566,0.5156693789624738,0.7638888888888888
43,War_and_Peace_by_graf_Leo_Tolstoy_,565980,10068,133,561.4389144475114,0.7355583484127729,0.7265125182358851,0.12463481094949608,0.7503800647762576
44,The_Picture_of_Dorian_Gray_by_Oscar_Wild,79078,843,16,150.17344139360995,0.4689459526912551,0.5448021286686856,0.048105024572026096,0.6333333333333333
45,The_Legend_of_Sleepy_Hollow_by_Washingto,12313,48,3,17.249798710580816,0.15470880343940815,0.564307113619621,0.26699069728949837,0.5833333333333334
46,Anna_Karenina_by_graf_Leo_Tolstoy_,350609,5295,70,392.0690652511781,0.5185755373381035,0.643749166510155,0.1735965875865761,0.6925599276345545
47,The_Brothers_Karamazov_by_Fyodor_Dostoye,354374,5697,65,376.9323880306445,0.6797701384968703,0.7671746205610261,0.19544594956388003,0.7941468253968254
48,A_Study_in_Scarlet_by_Arthur_Conan_Doyle,43967,326,8,22.158167230165947,0.43953063727221364,0.6665434325085517,-0.012670040876587733,0.9017857142857143
49,The_Wonderful_Wizard_of_Oz_by_L_Frank__,39514,256,7,141.976571795404,0.7753249267854179,0.8083295112018,0.28881127792513617,0.7142857142857143
50,Oliver_Twist_by_Charles_Dickens_,158822,2406,35,253.85401001055212,0.634652591703669,0.7032662283856032,0.23081746337112283,0.689516129032258
51,The_Jungle_by_Upton_Sinclair_,151202,1570,29,272.4226580836046,0.5806924252669396,0.681288858401923,0.18449378595285787,0.8146551724137933
52,Beowulf_An_AngloSaxon_Epic_Poem_,39447,373,8,118.96611912641346,0.6091711583425656,0.7511758033137016,0.24327745479056526,0.7767857142857143
53,Et_dukkehjem_English_by_Henrik_Ibsen_,26591,316,7,308.4358388168707,0.984608964652876,0.9844973312872708,0.6836308436288968,0.7333333333333334
54,Prestuplenie_i_nakazanie_English_by_Fyo,204412,2994,39,220.69129357277222,0.6692790041081003,0.7772538076894296,0.08846407239834622,0.7829768270944741
55,Peter_Pan_by_J_M__Barrie_,47503,778,16,168.74777776314568,0.625542403150184,0.7000084417126807,0.1462450882622283,0.6416666666666667
56,The_Adventures_of_Tom_Sawyer_by_Mark_Twa,72416,848,18,253.4108571075833,0.6486604820939667,0.744064016894917,0.1038872260848892,0.66875
